,pokemon_nome,pokemon_altura,pokemon_peso,pokemon_cor_pokedex,pokemon_evolucao,pokemon_tipo,Dano
25.0,Pikachu,1'040.4 m,13.2 lbs.6.0 kg,Yellow,['Gigantamax Pikachu'],['Electric'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
26.0,Raichu,2'070.8 m,66.1 lbs.30.0 kg,Yellow,"['Gigantamax Pikachu', 'Learn as Pikachu']",['Electric'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
28.0,Sandslash,3'031.0 m,65.0 lbs.29.5 kg,Yellow,"['sandshrew', 'sandslash']",['Ground'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*2', 'Electric': '*0', 'Grass': '*2', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
27.0,Sandshrew,2'000.6 m,26.5 lbs.12.0 kg,Yellow,"['sandshrew', 'sandslash']",['Ground'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*2', 'Electric': '*0', 'Grass': '*2', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
31.0,Nidoqueen,4'031.3 m,132.3 lbs.60.0 kg,Blue,"['Nidoran', 'Nidorino', 'Nidoking']","['Poison', 'Ground']","{'Normal': '*1', 'Fire': '*1', 'Water': '*2', 'Electric': '*0', 'Grass': '*1', 'Ice': '*2', 'Fighting': '*0.5', 'Poison': '*0.25', 'Ground': '*2', 'Flying': '*1', 'Psychic': '*2', 'Bug': '*0.5', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*0.5'}"
30.0,Nidorina,2'070.8 m,44.1 lbs.20.0 kg,Blue,"['Nidoqueen', 'Nidoran', 'Nidorino', 'Nidoking']",['Poison'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*1', 'Psychic': '*2', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*0.5'}"
685.0,Slurpuff,2'070.8 m,11.0 lbs.5.0 kg,White,[],['Fairy'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*2', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*2', 'Fairy': '*1'}"
896.0,Glastrier,,,,[],['Ice'],"{'Normal': '*1', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*0.5', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
895.0,Regidrago,,,,[],['Dragon'],"{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
898.0,Calyrex,3'071.1 m,17.0 lbs.7.7 kg,Green,"['Reins of Unity', '#896 Glastrier', '#897 Spectrier']","['Psychic', 'Psychic']","{'Normal': '*1', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*0.5', 'Poison': '*2', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*0.5', 'Bug': '*4', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
897.0,Spectrier,,,,[],['Ghost'],"{'Normal': '*0', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
894.0,Regieleki,,,,[],['Electric'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
892.0,Urshifu,6'031.9 m,231.5 lbs.105.0 kg,Gray,['Gigantamax Urshifu'],"['Fighting', 'Fighting']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*2', 'Psychic': '*0', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*0.5', 'Dragon': '*1', 'Dark': '*0.25', 'Steel': '*1', 'Fairy': '*4'}"
891.0,Kubfu,,,,"['Urshifu', 'Gigantamax Urshifu']",['Fighting'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*2', 'Psychic': '*2', 'Bug': '*0.5', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*2'}"
890.0,Eternatus,,,,[],"['Poison', 'Dragon']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.25', 'Ice': '*2', 'Fighting': '*0.5', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*1', 'Psychic': '*2', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
889.0,Zamazenta,9'062.9 m,463.0 lbs.210.0 kg,Red,[],['Fighting'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*2', 'Psychic': '*2', 'Bug': '*0.5', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*2'}"
888.0,Zacian,9'022.8 m,242.5 lbs.110.0 kg,Blue,[],['Fairy'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*2', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*2', 'Fairy': '*1'}"
887.0,Dragapult,9'103.0 m,110.2 lbs.50.0 kg,Green,[],"['Dragon', 'Ghost']","{'Normal': '*0', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*0', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*2', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*2'}"
886.0,Drakloak,4'071.4 m,24.3 lbs.11.0 kg,Green,['Dragapult'],"['Dragon', 'Ghost']","{'Normal': '*0', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*0', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*2', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*2'}"
893.0,Zarude,,,,[],"['Dark', 'Grass']","{'Normal': '*1', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*2', 'Poison': '*2', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*0', 'Bug': '*4', 'Rock': '*1', 'Ghost': '*0.5', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*2'}"
878.0,Cufant,3'111.2 m,220.5 lbs.100.0 kg,Yellow,"['Copperajah', 'Gigantamax Copperajah']",['Steel'],"{'Normal': '*0.5', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*2', 'Poison': '*0', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*0.5', 'Bug': '*0.5', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*0.5', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*0.5'}"
885.0,Dreepy,1'080.5 m,4.4 lbs.2.0 kg,Green,"['Drakloak', 'Dragapult']","['Dragon', 'Ghost']","{'Normal': '*0', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*0', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*2', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*2'}"
884.0,Duraludon,5'111.8 m,88.2 lbs.40.0 kg,White,['Gigantamax Duraludon'],"['Steel', 'Dragon']","{'Normal': '*0.5', 'Fire': '*1', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.25', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*0', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*0.5', 'Bug': '*0.5', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
883.0,Arctovish,6'072.0 m,385.8 lbs.175.0 kg,Blue,[],"['Water', 'Ice']","{'Normal': '*1', 'Fire': '*1', 'Water': '*0.5', 'Electric': '*2', 'Grass': '*2', 'Ice': '*0.25', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
882.0,Dracovish,7'072.3 m,474.0 lbs.215.0 kg,Green,[],"['Water', 'Dragon']","{'Normal': '*1', 'Fire': '*0.25', 'Water': '*0.25', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*2'}"
880.0,Dracozolt,5'111.8 m,418.9 lbs.190.0 kg,Green,[],"['Electric', 'Dragon']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*0.25', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*2'}"
